file;sex;genotype;nose.dip;bodycentre.raw.distance;bodycentre.distance.moving;bodycentre.raw.speed;bodycentre.speed.moving;bodycentre.time.moving;bodycentre.total.time;bodycentre.time.stationary;bodycentre.percentage.moving;bodycentre.center.raw.distance;bodycentre.center.distance.moving;bodycentre.center.raw.speed;bodycentre.center.speed.moving;bodycentre.center.time.moving;bodycentre.center.total.time;bodycentre.center.time.stationary;bodycentre.center.percentage.moving;bodycentre.center.transitions;bodycentre.open.raw.distance;bodycentre.open.distance.moving;bodycentre.open.raw.speed;bodycentre.open.speed.moving;bodycentre.open.time.moving;bodycentre.open.total.time;bodycentre.open.time.stationary;bodycentre.open.percentage.moving;bodycentre.open.transitions;bodycentre.closed.raw.distance;bodycentre.closed.distance.moving;bodycentre.closed.raw.speed;bodycentre.closed.speed.moving;bodycentre.closed.time.moving;bodycentre.closed.total.time;bodycentre.closed.time.stationary;bodycentre.closed.percentage.moving;bodycentre.closed.transitions;bodycentre.open.top.raw.distance;bodycentre.open.top.distance.moving;bodycentre.open.top.raw.speed;bodycentre.open.top.speed.moving;bodycentre.open.top.time.moving;bodycentre.open.top.total.time;bodycentre.open.top.time.stationary;bodycentre.open.top.percentage.moving;bodycentre.open.top.transitions;bodycentre.open.bottom.raw.distance;bodycentre.open.bottom.distance.moving;bodycentre.open.bottom.raw.speed;bodycentre.open.bottom.speed.moving;bodycentre.open.bottom.time.moving;bodycentre.open.bottom.total.time;bodycentre.open.bottom.time.stationary;bodycentre.open.bottom.percentage.moving;bodycentre.open.bottom.transitions;bodycentre.closed.left.raw.distance;bodycentre.closed.left.distance.moving;bodycentre.closed.left.raw.speed;bodycentre.closed.left.speed.moving;bodycentre.closed.left.time.moving;bodycentre.closed.left.total.time;bodycentre.closed.left.time.stationary;bodycentre.closed.left.percentage.moving;bodycentre.closed.left.transitions;bodycentre.closed.right.raw.distance;bodycentre.closed.right.distance.moving;bodycentre.closed.right.raw.speed;bodycentre.closed.right.speed.moving;bodycentre.closed.right.time.moving;bodycentre.closed.right.total.time;bodycentre.closed.right.time.stationary;bodycentre.closed.right.percentage.moving;bodycentre.closed.right.transitions
EPM_24W_2311_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;9;1186,12;724,13;3,78;10,53;68,76;314,16;245,4;21,89;187,16;87,84;3,53;8,48;10,36;53,04;42,68;19,53;36;983,07;624,6;4,18;10,88;57,4;235,16;177,76;24,41;31;12,93;8,74;4,55;11,5;0,76;2,84;2,08;26,76;6;0;0;NA;NA;0;0;0;NA;0;12,93;8,74;4,55;11,5;0,76;2,84;2,08;26,76;6;469,58;335,98;6,02;10,95;30,68;78;47,32;39,33;18;513,49;288,62;3,27;10,8;26,72;157,16;130,44;17;13
EPM_24W_2312_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;35;1295,42;754,91;4,3;9,55;79,04;301;221,96;26,26;245,12;112;3,93;7,65;14,64;62,32;47,68;23,49;40;743,61;516,19;5,45;10,53;49;136,4;87,4;35,92;29;301,88;126,72;3,3;8,23;15,4;91,4;76;16,85;18;198,3;86,46;3,09;8,89;9,72;64,08;54,36;15,17;2;103,58;40,26;3,79;7,09;5,68;27,32;21,64;20,79;16;483,92;320,09;5,16;10,64;30,08;93,84;63,76;32,05;15;259,7;196,09;6,1;10,36;18,92;42,56;23,64;44,45;14
EPM_24W_2359_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;11;1297,06;830,93;4,42;10,28;80,84;293,24;212,4;27,57;187,85;88,24;3,4;8,23;10,72;55,28;44,56;19,39;36;983,57;655,92;4,63;11;59,64;212,24;152,6;28,1;29;125,19;86,32;5,24;8,27;10,44;23,88;13,44;43,72;8;117,92;80,53;5,13;8,12;9,92;23;13,08;43,13;4;7,27;5,79;8,26;11,13;0,52;0,88;0,36;59,09;4;579,43;379,53;4,24;10,68;35,52;136,76;101,24;25,97;18;404,14;276,39;5,35;11,46;24,12;75,48;51,36;31,96;11
EPM_24W_2401_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;25;1542,98;1061,26;5,23;10,71;99,12;294,92;195,8;33,61;229,15;114,7;3,65;8,9;12,88;62,72;49,84;20,54;48;833,45;612,1;5,78;11,15;54,92;144,32;89,4;38,05;25;475,8;332,49;5,72;10,64;31,24;83,16;51,92;37,57;24;268,77;187,55;5,38;9,87;19;49,92;30,92;38,06;12;207,03;144,93;6,23;11,84;12,24;33,24;21;36,82;12;321,15;253,66;6,8;11,03;23;47,24;24,24;48,69;11;512,31;358,44;5,28;11,23;31,92;97,08;65,16;32,88;14
EPM_24W_2410_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;1;599,65;207,32;2,03;7,66;27,08;295,44;268,36;9,17;85,53;25,32;2,69;7,53;3,36;31,8;28,44;10,57;14;486,69;171,3;1,9;7,45;23;255,6;232,6;9;9;23,46;6,73;3,47;9,9;0,68;6,76;6,08;10,06;6;0;0;NA;NA;0;0;0;NA;0;23,46;6,73;3,47;9,9;0,68;6,76;6,08;10,06;6;230,24;70,12;1,66;7,37;9,52;138,68;129,16;6,86;5;256,45;101,17;2,19;7,51;13,48;116,92;103,44;11,53;4
EPM_24W_2411_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;30;1454,13;1005,1;4,97;11,27;89,2;292,68;203,48;30,48;170,99;97,29;4,3;8,75;11,12;39,8;28,68;27,94;38;870,54;637,37;5,49;12,15;52,44;158,6;106,16;33,06;27;383,41;252,24;4,31;10,39;24,28;89,04;64,76;27,27;21;230,23;146,13;3,7;10,23;14,28;62,16;47,88;22,97;12;153,18;106,11;5,7;10,61;10;26,88;16,88;37,2;9;424,99;325,99;5,33;12,2;26,72;79,8;53,08;33,48;11;445,55;311,38;5,65;12,11;25,72;78,8;53,08;32,64;16
EPM_24W_2416_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;13;1817,26;1329,75;6,2;12,2;109;293,28;184,28;37,17;276,34;142,56;4,18;8,91;16;66,12;50,12;24,2;63;1444,79;1123,79;7;13,01;86,4;206,52;120,12;41,84;47;96,12;63,4;4,66;9,61;6,6;20,64;14,04;31,98;16;10,31;1,63;2,01;8,13;0,2;5,12;4,92;3,91;8;85,81;61,78;5,53;9,65;6,4;15,52;9,12;41,24;8;973,52;710,4;6,19;12,26;57,96;157,4;99,44;36,82;33;471,27;413,39;9,59;14,54;28,44;49,12;20,68;57,9;14
EPM_24W_2419_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;34;1904,78;1465;6,55;11,81;124,04;290,84;166,8;42,65;215,26;131,56;4,36;8,7;15,12;49,36;34,24;30,63;47;1093,64;859,45;7,19;12,83;67;152,12;85,12;44,04;27;595,1;473,99;6,68;11,31;41,92;89,04;47,12;47,08;22;262,51;221,77;8,05;11,67;19;32,6;13,6;58,28;8;332,59;252,22;5,89;11;22,92;56,44;33,52;40,61;14;572,12;472,66;8,57;13,71;34,48;66,76;32,28;51,65;13;521,53;386,78;6,11;11,89;32,52;85,36;52,84;38,1;14
EPM_40W_2224_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;18;992,08;431,48;3,3;8,71;49,52;300,6;251,08;16,47;194,7;61,88;3,36;7,51;8,24;57,92;49,68;14,23;26;716,95;339,6;3,36;9,11;37,28;213,6;176,32;17,45;12;80,32;30;4,1;7,5;4;19,6;15,6;20,41;15;15,7;4,49;3,35;9,35;0,48;4,68;4,2;10,26;6;64,62;25,51;4,33;7,25;3,52;14,92;11,4;23,59;9;99,8;76,23;6,32;10,08;7,56;15,8;8,24;47,85;4;617,15;263,37;3,12;8,86;29,72;197,8;168,08;15,03;8
EPM_40W_2230_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;f;wt;19;618,03;207,62;1,99;8,67;23,96;311,16;287,2;7,7;178,45;45,05;1,46;8,47;5,32;122,6;117,28;4,34;34;206,36;101,4;3,19;9,22;11;64,6;53,6;17,03;20;227,99;61,17;2,16;8,01;7,64;105,72;98,08;7,23;17;203,02;57,71;2,05;7,97;7,24;99,12;91,88;7,3;5;24,97;3,46;3,78;8,65;0,4;6,6;6,2;6,06;12;58,9;33,98;4,99;8,09;4,2;11,8;7,6;35,59;4;147,46;67,42;2,79;9,91;6,8;52,8;46;12,88;16
