file;nose.dip;sex;genotype;bodycentre.raw.distance;bodycentre.distance.moving;bodycentre.raw.speed;bodycentre.speed.moving;bodycentre.time.moving;bodycentre.total.time;bodycentre.time.stationary;bodycentre.percentage.moving;bodycentre.center.raw.distance;bodycentre.center.distance.moving;bodycentre.center.raw.speed;bodycentre.center.speed.moving;bodycentre.center.time.moving;bodycentre.center.total.time;bodycentre.center.time.stationary;bodycentre.center.percentage.moving;bodycentre.center.transitions;bodycentre.open.raw.distance;bodycentre.open.distance.moving;bodycentre.open.raw.speed;bodycentre.open.speed.moving;bodycentre.open.time.moving;bodycentre.open.total.time;bodycentre.open.time.stationary;bodycentre.open.percentage.moving;bodycentre.open.transitions;bodycentre.closed.raw.distance;bodycentre.closed.distance.moving;bodycentre.closed.raw.speed;bodycentre.closed.speed.moving;bodycentre.closed.time.moving;bodycentre.closed.total.time;bodycentre.closed.time.stationary;bodycentre.closed.percentage.moving;bodycentre.closed.transitions;bodycentre.open.top.raw.distance;bodycentre.open.top.distance.moving;bodycentre.open.top.raw.speed;bodycentre.open.top.speed.moving;bodycentre.open.top.time.moving;bodycentre.open.top.total.time;bodycentre.open.top.time.stationary;bodycentre.open.top.percentage.moving;bodycentre.open.top.transitions;bodycentre.open.bottom.raw.distance;bodycentre.open.bottom.distance.moving;bodycentre.open.bottom.raw.speed;bodycentre.open.bottom.speed.moving;bodycentre.open.bottom.time.moving;bodycentre.open.bottom.total.time;bodycentre.open.bottom.time.stationary;bodycentre.open.bottom.percentage.moving;bodycentre.open.bottom.transitions;bodycentre.closed.left.raw.distance;bodycentre.closed.left.distance.moving;bodycentre.closed.left.raw.speed;bodycentre.closed.left.speed.moving;bodycentre.closed.left.time.moving;bodycentre.closed.left.total.time;bodycentre.closed.left.time.stationary;bodycentre.closed.left.percentage.moving;bodycentre.closed.left.transitions;bodycentre.closed.right.raw.distance;bodycentre.closed.right.distance.moving;bodycentre.closed.right.raw.speed;bodycentre.closed.right.speed.moving;bodycentre.closed.right.time.moving;bodycentre.closed.right.total.time;bodycentre.closed.right.time.stationary;bodycentre.closed.right.percentage.moving;bodycentre.closed.right.transitions
EPM_08W_2427_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;28,00;f;wt;1872,03;1449,52;6,38;12,43;116,60;293,64;177,04;39,71;192,29;152,18;5,72;9,96;15,28;33,60;18,32;45,48;49,00;877,26;686,51;6,57;12,81;53,60;133,60;80,00;40,12;23,00;802,32;610,84;6,35;12,80;47,72;126,36;78,64;37,77;26,00;362,65;252,82;5,37;12,79;19,76;67,52;47,76;29,27;14,00;439,66;358,01;7,47;12,80;27,96;58,84;30,88;47,52;12,00;508,63;404,63;6,69;12,89;31,40;76,08;44,68;41,27;13,00;368,63;281,88;6,41;12,70;22,20;57,52;35,32;38,60;10,00
EPM_08W_2428_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;32,00;f;wt;1286,12;801,76;4,36;9,35;85,76;295,16;209,40;29,06;199,20;100,05;4,01;7,77;12,88;49,64;36,76;25,95;44,00;612,16;410,20;4,68;9,61;42,68;130,68;88,00;32,66;16,00;474,76;291,51;4,13;9,65;30,20;114,84;84,64;26,30;28,00;216,30;129,07;3,80;9,14;14,12;56,96;42,84;24,79;16,00;258,46;162,44;4,47;10,10;16,08;57,88;41,80;27,78;12,00;317,38;217,79;4,74;9,32;23,36;67,00;43,64;34,87;8,00;294,77;192,41;4,63;9,96;19,32;63,68;44,36;30,34;8,00
EPM_08W_2431_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;21,00;f;wt;1492,45;1010,49;5,10;11,49;87,92;292,36;204,44;30,07;214,56;123,60;4,56;8,93;13,84;47,04;33,20;29,42;46,00;1018,10;754,00;5,77;12,66;59,56;176,60;117,04;33,73;24,00;259,79;132,89;3,78;9,15;14,52;68,72;54,20;21,13;22,00;61,05;24,16;2,91;6,79;3,56;20,96;17,40;16,98;12,00;198,74;108,73;4,16;9,92;10,96;47,76;36,80;22,95;10,00;494,71;382,69;6,71;11,97;31,96;73,76;41,80;43,33;10,00;523,39;371,31;5,09;13,45;27,60;102,84;75,24;26,84;14,00
EPM_08W_2440_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;23,00;f;wt;1845,99;1350,25;6,32;11,01;122,60;292,24;169,64;41,95;319,20;170,43;4,33;7,78;21,92;73,68;51,76;29,75;55,00;1149,61;907,98;7,37;12,09;75,08;156,08;81,00;48,10;38,00;377,18;271,84;6,04;10,62;25,60;62,48;36,88;40,97;17,00;246,10;189,21;6,65;11,18;16,92;37,00;20,08;45,73;7,00;131,08;82,63;5,14;9,52;8,68;25,48;16,80;34,07;10,00;671,08;513,41;6,92;11,79;43,56;97,04;53,48;44,89;26,00;478,53;394,57;8,11;12,52;31,52;59,04;27,52;53,39;12,00
EPM_08W_2441_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;9,00;f;wt;1239,28;757,35;4,24;10,55;71,76;292,36;220,60;24,55;254,74;97,73;2,80;8,82;11,08;91,08;80,00;12,17;48,00;916,71;622,86;4,94;10,90;57,16;185,48;128,32;30,82;35,00;59,73;28,66;4,06;9,43;3,04;14,72;11,68;20,65;12,00;19,50;10,17;3,84;8,77;1,16;5,08;3,92;22,83;6,00;40,23;18,49;4,17;9,84;1,88;9,64;7,76;19,50;6,00;516,93;350,74;5,07;10,95;32,04;101,96;69,92;31,42;22,00;399,78;272,13;4,79;10,83;25,12;83,52;58,40;30,08;13,00
EPM_08W_2444_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;33,00;f;wt;1904,97;1466,90;6,52;11,93;122,92;292,20;169,28;42,07;245,59;151,76;4,49;9,08;16,72;54,72;38,00;30,56;58,00;1074,93;873,77;7,57;12,91;67,68;141,96;74,28;47,68;36,00;584,46;441,36;6,12;11,46;38,52;95,52;57,00;40,33;22,00;293,23;227,23;6,42;11,48;19,80;45,64;25,84;43,38;12,00;291,22;214,14;5,84;11,44;18,72;49,88;31,16;37,53;10,00;595,50;475,97;7,26;12,61;37,76;82,00;44,24;46,05;24,00;479,43;397,81;8,00;13,30;29,92;59,96;30,04;49,90;12,00
EPM_08W_2460_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;40,00;f;wt;1870,41;1424,48;6,37;13,72;103,80;293,60;189,80;35,35;237,16;146,24;4,28;10,57;13,84;55,40;41,56;24,98;55,00;930,40;753,38;7,76;14,85;50,72;119,84;69,12;42,32;25,00;702,85;524,87;5,94;13,38;39,24;118,36;79,12;33,15;30,00;379,25;296,41;6,80;13,30;22,28;55,76;33,48;39,96;18,00;323,60;228,46;5,17;13,47;16,96;62,60;45,64;27,09;12,00;464,50;381,33;8,04;14,87;25,64;57,80;32,16;44,36;10,00;465,90;372,05;7,51;14,83;25,08;62,04;36,96;40,43;15,00
EPM_08W_2462_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;27,00;f;wt;1561,19;1153,82;5,30;12,41;93,00;294,40;201,40;31,59;161,79;111,38;5,32;10,31;10,80;30,44;19,64;35,48;48,00;970,97;744,60;5,70;13,59;54,80;170,44;115,64;32,15;29,00;423,32;293,82;4,72;10,82;27,16;89,72;62,56;30,27;22,00;289,62;194,43;4,38;10,87;17,88;66,08;48,20;27,06;12,00;133,70;99,40;5,66;10,71;9,28;23,64;14,36;39,26;10,00;601,69;422,35;4,56;12,77;33,08;131,88;98,80;25,08;17,00;369,29;322,25;9,58;14,84;21,72;38,56;16,84;56,33;12,00
EPM_08W_2482_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;21,00;f;wt;1431,83;923,61;4,88;9,48;97,40;293,40;196,00;33,20;222,34;75,90;3,02;7,84;9,68;73,60;63,92;13,15;52,00;943,32;679,34;5,58;9,93;68,44;168,96;100,52;40,51;34,00;262,89;165,89;5,27;8,77;18,92;49,88;30,96;37,93;22,00;102,08;63,86;5,77;9,45;6,76;17,68;10,92;38,24;14,00;160,82;102,04;4,99;8,39;12,16;32,20;20,04;37,76;8,00;630,03;473,64;5,81;10,07;47,04;108,36;61,32;43,41;26,00;313,29;205,71;5,17;9,61;21,40;60,60;39,20;35,31;8,00
EPM_08W_2492_WTcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;24,50;f;wt;1911,27;1453,33;6,53;11,92;121,96;292,64;170,68;41,68;237,37;142,76;4,44;9,04;15,80;53,52;37,72;29,52;64,00;1292,05;1046,76;7,70;12,72;82,32;167,76;85,44;49,07;42,00;376,28;258,23;5,37;10,92;23,64;70,12;46,48;33,71;23,00;197,96;145,29;5,78;11,46;12,68;34,24;21,56;37,03;9,00;178,33;112,94;4,97;10,31;10,96;35,88;24,92;30,55;14,00;734,54;601,37;7,93;13,29;45,24;92,64;47,40;48,83;22,00;557,50;445,38;7,42;12,01;37,08;75,12;38,04;49,36;20,00
